26/05/2026 11:38:37
teste7.txt
0.1 000000000
0.1 000000000
0.2 000000000
0.2 000000000
0.3 000000000
0.3 000000000
0.4 000000000
0.4 000000000
0.5 000000000
0.5 000000000
0.6 000000000
0.6 000000000
0.7 000000000
0.7 000000000
0.8 000000000
0.8 000000000
0.9 000000000
0.9 000000000
1.0 000000000
1.0 000000000
1.1 000000000
1.1 000000000
1.2 000000000
1.2 000000000
1.3 000000000
1.3 000000000
1.4 000000000
1.4 000000000
1.5 000000000
1.5 000000000
1.6 000000000
1.6 000000000
1.7 000000000
1.7 000000000
1.8 000000000
1.8 000000000
1.9 000000000
1.9 000000000
2.0 000000000
2.0 000000000
2.1 000000000
2.1 000000000
2.2 000000000
2.2 000000000
2.3 000000000
2.3 000000000
2.4 000000000
2.4 000000000
2.5 000000000
2.5 000000000
2.6 000000000
2.6 000000000
2.7 000000000
2.7 000000000
2.8 000000000
2.8 000000000
2.9 000000000
2.9 000000000
3.0 000000000
3.0 000000000
0
